Years	Island	quadrat	plot	size	nitrogen	mowing	dist.mainland	Abutilon theophrasti	Acer sp.	Alliaria petiolata 	Alternate shrub	Amaranthus retroflexus	Ambrosia artemisiifolia	Andropogon geardii	Arabis glabra	Arctium sp.	Asclepias sp.	Asclepias tuberosa	Aster sp.	Aster ericoides	Aster novae angliae	Aster ooentangiensis	Berteroa incana	Capsella bursa pastoris	Chenopodium pumilio	Chenopodium sp.	Chrysanthemum leucanthemum	Cirsium altissimum	Cirsium arvense	Cirsium discolor	Cirsium vulgare 	Conium maculatum	Convolvulus sp.	Conyza canadensis	Coreopsis tripteris	Crepis capillaris	Cyperus esculentus	Datura stramonium	Daucus carota	Desmodium canadense	Dipsacus fullonum	Echinocystis lobata	Eleagnus angustifolia	Elymus canadensis	Eragrostis sp.	Erigeron annuus	Erigeron sp.	Erysimum cheiranthoides	Fraxinus sp.	Geum	Grass sp.1	Grass sp.2	Grass sp.3	Helanthum autumnal	Heliopsis helianthoides	Hieracium sp.	Hypericum perforatum	Lactuca canadensis	Lactuca serriola	Lapsana communis	Leonorus cardiaca	Lespedeza capitata	Liatris spicata	Lotus corniculatus	Medicago lupulina	Melilotus alba	Monarda fistulosa	Nepeta cataria	Oenothera biennis	Oxalis sp. 	Panicum virigatum	Parthenocissus quiquefolia	Plantago major	Poa pratensis	Polygonum lapathifolium 	Polygonum vine	Populus sp.	Potentilla recta	Portulaca oleracea	Prunus sp.	Pycnanthemum virginianum	Quercus sp.	Rhamnus sp.	Ritibida pinnata	Rudbeckia hirta	Rumex cripus	Schizachyrium scoparium	Securigera varia	Setaria sp.	Sisymbrium altissinum	Solanaceae	Solidago Canadensis	Solidago nemoralis	Solidago rigida	Solidago sp.	Sonchus arvenis	Sonchus asper	Sonchus sp.	Sorghastrum nutans	Sporobolus cryptandrus	Stellaria sp.	Taraxacum officinale	Tragopogon sp.	Trifolium pratense	Trifolium sp.	Triticum aestivum	Verbascum thapsus	Vicia cracca	Vitis riparia	Zea mays
2012	1	A	1	100	no	no	230.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2012	1	D	4	100	no	no	230.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2012	1	B	2	100	no	no	230.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2012	2	A	1	100	yes	no	252.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2012	2	D	4	100	yes	no	252.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	2	0	10	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2012	2	B	2	100	yes	no	252.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2012	3	A	1	25	no	no	294.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2012	3	D	4	25	no	no	294.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2012	3	B	2	25	no	no	294.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2012	4	A	1	100	yes	no	82.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
