Years	Size	Dist	Nitrogen	Mowing	Plot	F	G	L
2012	100	230.05	no	yes	1	41.05	28.15	69.2
2012	100	252.93	yes	no	2	74.78	82.75	157.53
2012	25	294.76	no	yes	3	0	64.05	64.05
2012	100	82.89	yes	yes	4	0.15	96.16	96.31
2012	400	291.42	no	yes	5	0	67.44	67.44
2012	400	185.82	no	yes	6	16.38	49.38	65.76
2012	100	40.79	no	no	7	0	35.75	35.75
2012	400	224.8	yes	no	8	19.66	41.67	61.33
2012	25	83.2	no	no	9	0	72.52	72.52
2012	400	177.23	no	no	10	22.64	44.75	67.39
2012	100	30.71	no	yes	11	2.15	42.58	44.73
2012	25	57.45	yes	yes	12	0	174.95	174.95
2012	400	284.55	no	no	13	0.06	93.94	94
2012	400	108	yes	no	14	31.96	125.81	157.77
2012	25	22.02	yes	no	15	0	93.64	93.64
2012	25	278.06	no	yes	16	0	86.41	86.41
2012	100	239.85	yes	no	17	14.36	50.88	65.24
2012	25	189.38	no	no	18	115.69	23.68	139.37
2012	400	176	no	no	19	0.41	28.4	28.81
2012	25	119.94	no	no	20	28.4	103.9	132.3
2012	400	233.69	yes	yes	21	0.81	65.72	66.53
2012	400	311.26	yes	yes	22	184.02	115.75	299.77
2012	25	221.14	yes	no	23	0	26.2	26.2
2012	100	29.22	no	no	24	0.22	39.36	39.58
2012	400	327.6	yes	yes	25	15.35	79.02	94.37
2012	100	237.24	yes	yes	26	10.35	18.98	29.33
2012	100	146.3	yes	no	27	4.96	105.78	110.74
2012	25	7.83	yes	no	28	11.6	66.64	78.24
2012	100	277.35	yes	yes	29	0	113.41	113.41
2012	100	126.65	no	no	30	0	78.83	78.83
2012	25	18.47	yes	yes	31	0	80	80
2012	25	80.08	yes	yes	32	0	47.1	47.1
2012	400	123.01	yes	no	33	40.68	113.7	154.38
2012	100	235.2	no	yes	34	8.9	31.7	40.6
2012	400	45.14	no	yes	35	32.84	76.2	109.04
2012	25	9	no	yes	36	0	125.21	125.21
2013	100	230.05	no	yes	1	58.22	9.35	15.45
2013	100	252.93	yes	no	2	140.42	5.22	113.8
2013	25	294.76	no	yes	3	3.23	44.29	50.08
2013	100	82.89	yes	yes	4	6.85	47.7	13.59
2013	400	291.42	no	yes	5	57.59	41.55	13.35
2013	400	185.82	no	yes	6	37.58	20.47	47.27
2013	100	40.79	no	no	7	17.69	24.48	41.65
2013	400	224.8	yes	no	8	103.38	6.52	147.07
2013	25	83.2	no	no	9	5.23	22.84	32.74
2013	400	177.23	no	no	10	32.45	1.98	74.93
2013	100	30.71	no	yes	11	NA	NA	NA
2013	25	57.45	yes	yes	12	103.18	46.58	0
2013	400	284.55	no	no	13	26.66	23.17	84.5
2013	400	108	yes	no	14	82.06	5.15	50.42
2013	25	22.02	yes	no	15	46.04	15.3	14.16
2013	25	278.06	no	yes	16	36.3	6.96	30.57
2013	100	239.85	yes	no	17	83.46	1.69	48.33
2013	25	189.38	no	no	18	45.11	5.83	27.34
2013	400	176	no	no	19	4.17	47.71	14.68
2013	25	119.94	no	no	20	14.82	6.87	46.78
2013	400	233.69	yes	yes	21	78.92	20.68	104.15
2013	400	311.26	yes	yes	22	354.23	0.41	18.76
2013	25	221.14	yes	no	23	47.86	28.52	41.86
2013	100	29.22	no	no	24	22.03	16.45	20.52
2013	400	327.6	yes	yes	25	20.96	186.63	16.03
2013	100	237.24	yes	yes	26	22.22	53.37	11.69
2013	100	146.3	yes	no	27	108.86	1.53	121.43
2013	25	7.83	yes	no	28	149.05	0	76
2013	100	277.35	yes	yes	29	84.61	23.19	49.07
2013	100	126.65	no	no	30	50.62	20.03	14.46
2013	25	18.47	yes	yes	31	107.95	6.35	9.13
