Island	quadrat	plot	light.av	soil
1	A	1	727	17.5
1	A	2	536.5	16.5
1	A	3	528.5	18.5
1	A	4	820.5	18
1	B	1	945	15
1	B	2	805	16
1	B	3	928.5	16
1	B	4	951	16.5
1	D	1	418.5	16
1	D	2	583	16
1	D	3	956	15.5
1	D	4	842	15.5
2	A	1	74	13
2	A	2	94	11
2	A	3	57.5	11
2	A	4	105.5	11
2	B	1	257.5	15.5
2	B	2	200	13
2	B	3	67	14
2	B	4	61	14.5
2	D	1	153	18.5
2	D	2	289	20.5
2	D	3	135	20
2	D	4	57.5	21
3	A	1	475.5	8
3	A	2	246.5	10.5
3	A	3	409	8.5
3	A	4	496	8.5
3	D	1	361	10
3	D	2	298	10
3	D	3	262	9.5
3	D	4	297	11.5
4	A	1	281	15
4	A	2	299.5	18
4	A	3	149.5	15.5
4	A	4	120	16
4	B	1	91	13
4	B	2	125.5	14.5
4	B	3	140	14
4	B	4	103.5	13.5
4	D	1	120	15.5
4	D	2	183	15.5
4	D	3	152.5	19
4	D	4	148.5	14
5	A	1	732.5	15.5
5	A	2	938	17
5	A	3	556	16
5	A	4	422.5	16
5	B	1	354	17.5
5	B	2	430.5	16
5	B	3	756.5	18.5
5	B	4	1044.5	17.5
5	C	1	883.5	15.5
5	C	2	790.5	17
5	C	3	374	18.5
5	C	4	728	18
5	D	1	506.5	17
5	D	2	708.5	16
5	D	3	876	18
5	D	4	725.5	17.5
5	E	1	804.5	14
5	E	2	758	15.5
5	E	3	685	14.5
5	E	4	848.5	15.5
6	A	1	151	10.5
6	A	2	193	11.5
6	A	3	80	10.5
6	A	4	152	9.5
6	B	1	410.5	9
6	B	2	160.5	9
6	B	3	266.5	11
6	B	4	440.5	10.5
6	C	1	163.5	11.5
6	C	2	166	8
6	C	3	299.5	11
6	C	4	229.5	11
6	D	1	271	10
6	D	2	193	10.5
6	D	3	121.5	10.5
6	D	4	124	11.5
6	E	1	270	13
6	E	2	256.5	10.5
6	E	3	168	11.5
6	E	4	301.5	9
7	A	1	236	17
7	A	2	659	18.5
7	A	3	453	18
7	A	4	579	16
7	B	1	113.5	15
7	B	2	142	15
7	B	3	139.5	16.5
7	B	4	116	16.5
7	D	1	267	20.5
7	D	2	131	17
7	D	3	760	17.5
7	D	4	179	17
8	A	1	285	3.5
8	A	2	131	6
8	A	3	194	5.5
8	A	4	169	5.5
8	B	1	75.5	6.5
8	B	2	85	7
8	B	3	142.5	7.5
8	B	4	306	8
8	C	1	248	7.5
8	C	2	115	6
8	C	3	206.5	6
8	C	4	169.5	6.5
8	D	1	116	9
8	D	2	150	11
8	D	3	204	7.5
8	D	4	181	11
8	E	1	28.5	12
8	E	2	56	14
8	E	3	101.5	13.5
8	E	4	38	11.5
9	A	1	351.5	15
9	A	2	189	15.5
9	A	3	144	15.5
9	A	4	122	14.5
9	D	1	319.5	17
9	D	2	178.5	16.5
9	D	3	155	15.5
9	D	4	631.5	15
10	A	1	435	9.5
10	A	2	181	9
10	A	3	363.5	9
10	A	4	286	8.5
10	B	1	295.5	11.5
10	B	2	423	9.5
10	B	3	292	9.5
10	B	4	269.5	11
10	C	1	227	9
10	C	2	218	9
10	C	3	221.5	9.5
10	C	4	230.5	8.5
10	D	1	253	10.5
10	D	2	262	11
10	D	3	265.5	9
10	D	4	153.5	11.5
10	E	1	353	8
10	E	2	326.5	9
10	E	3	365.5	8.5
10	E	4	546	8.5
11	A	1	977	17
11	A	2	648.5	16
11	A	3	940	17
11	A	4	1041.5	17.5
11	B	1	510.5	18.5
11	B	2	412	19.5
11	B	3	520.5	19.5
11	B	4	700.5	18.5
11	D	1	763.5	16.5
11	D	2	716.5	16.5
11	D	3	846	17
11	D	4	752	16
12	A	1	52.5	15
12	A	2	131.5	16.5
12	A	3	40	15.5
12	A	4	42	15.5
12	D	1	136	14.5
12	D	2	46.5	16
12	D	3	23.5	15
12	D	4	97	13.5
13	A	1	333	18.5
13	A	2	325.5	21
13	A	3	343	20
13	A	4	43.5	23
13	B	1	304	16
13	B	2	344.5	19
13	B	3	187.5	16.5
13	B	4	299	19
13	C	1	103.5	16
13	C	2	457	17
13	C	3	620.5	16
