Island		quadrat	plot	X.isl	Y.isl	X.quad	Y.quad	Dist.mainland
1		A	1	-80.36107757	43.37108512	-80.36106201	43.37103413	230.05
1		A	2	-80.36107757	43.37108512	-80.36106201	43.37103413	230.05
1		A	3	-80.36107757	43.37108512	-80.36106201	43.37103413	230.05
1		A	4	-80.36107757	43.37108512	-80.36106201	43.37103413	230.05
1		B	1	-80.36107757	43.37108512	-80.36108553	43.37107471	230.05
1		B	2	-80.36107757	43.37108512	-80.36108553	43.37107471	230.05
1		B	3	-80.36107757	43.37108512	-80.36108553	43.37107471	230.05
1		B	4	-80.36107757	43.37108512	-80.36108553	43.37107471	230.05
1		D	1	-80.36107757	43.37108512	-80.36104173	43.37106466	230.05
1		D	2	-80.36107757	43.37108512	-80.36104173	43.37106466	230.05
1		D	3	-80.36107757	43.37108512	-80.36104173	43.37106466	230.05
1		D	4	-80.36107757	43.37108512	-80.36104173	43.37106466	230.05
2		A	1	-80.36117438	43.37076366	-80.36111085	43.37072605	252.93
2		A	2	-80.36117438	43.37076366	-80.36111085	43.37072605	252.93
2		A	3	-80.36117438	43.37076366	-80.36111085	43.37072605	252.93
2		A	4	-80.36117438	43.37076366	-80.36111085	43.37072605	252.93
2		B	1	-80.36117438	43.37076366	-80.36118678	43.37070707	252.93
2		B	2	-80.36117438	43.37076366	-80.36118678	43.37070707	252.93
2		B	3	-80.36117438	43.37076366	-80.36118678	43.37070707	252.93
2		B	4	-80.36117438	43.37076366	-80.36118678	43.37070707	252.93
2		D	1	-80.36117438	43.37076366	-80.36115308	43.37074771	252.93
2		D	2	-80.36117438	43.37076366	-80.36115308	43.37074771	252.93
2		D	3	-80.36117438	43.37076366	-80.36115308	43.37074771	252.93
2		D	4	-80.36117438	43.37076366	-80.36115308	43.37074771	252.93
3		A	1	-80.36245947	43.37023864	-80.36247897	43.37022915	294.76
3		A	2	-80.36245947	43.37023864	-80.36247897	43.37022915	294.76
3		A	3	-80.36245947	43.37023864	-80.36247897	43.37022915	294.76
3		A	4	-80.36245947	43.37023864	-80.36247897	43.37022915	294.76
3		D	1	-80.36245947	43.37023864	-80.36244918	43.37024384	294.76
3		D	2	-80.36245947	43.37023864	-80.36244918	43.37024384	294.76
3		D	3	-80.36245947	43.37023864	-80.36244918	43.37024384	294.76
3		D	4	-80.36245947	43.37023864	-80.36244918	43.37024384	294.76
4		A	1	-80.36059558	43.37250336	-80.3605589	43.37244935	82.89
4		A	2	-80.36059558	43.37250336	-80.3605589	43.37244935	82.89
4		A	3	-80.36059558	43.37250336	-80.3605589	43.37244935	82.89
4		A	4	-80.36059558	43.37250336	-80.3605589	43.37244935	82.89
4		B	1	-80.36059558	43.37250336	-80.36059534	43.37244602	82.89
4		B	2	-80.36059558	43.37250336	-80.36059534	43.37244602	82.89
4		B	3	-80.36059558	43.37250336	-80.36059534	43.37244602	82.89
4		B	4	-80.36059558	43.37250336	-80.36059534	43.37244602	82.89
4		D	1	-80.36059558	43.37250336	-80.36055145	43.37248212	82.89
4		D	2	-80.36059558	43.37250336	-80.36055145	43.37248212	82.89
4		D	3	-80.36059558	43.37250336	-80.36055145	43.37248212	82.89
4		D	4	-80.36059558	43.37250336	-80.36055145	43.37248212	82.89
5		A	1	-80.36091267	43.37054303	-80.36081412	43.37059821	291.42
5		A	2	-80.36091267	43.37054303	-80.36081412	43.37059821	291.42
5		A	3	-80.36091267	43.37054303	-80.36081412	43.37059821	291.42
5		A	4	-80.36091267	43.37054303	-80.36081412	43.37059821	291.42
5		B	1	-80.36091267	43.37054303	-80.3609277	43.37049838	291.42
5		B	2	-80.36091267	43.37054303	-80.3609277	43.37049838	291.42
5		B	3	-80.36091267	43.37054303	-80.3609277	43.37049838	291.42
5		B	4	-80.36091267	43.37054303	-80.3609277	43.37049838	291.42
5		C	1	-80.36091267	43.37054303	-80.36078998	43.37054089	291.42
5		C	2	-80.36091267	43.37054303	-80.36078998	43.37054089	291.42
5		C	3	-80.36091267	43.37054303	-80.36078998	43.37054089	291.42
5		C	4	-80.36091267	43.37054303	-80.36078998	43.37054089	291.42
5		D	1	-80.36091267	43.37054303	-80.36086441	43.3705184	291.42
5		D	2	-80.36091267	43.37054303	-80.36086441	43.3705184	291.42
5		D	3	-80.36091267	43.37054303	-80.36086441	43.3705184	291.42
5		D	4	-80.36091267	43.37054303	-80.36086441	43.3705184	291.42
5		E	1	-80.36091267	43.37054303	-80.3609345	43.37055753	291.42
5		E	2	-80.36091267	43.37054303	-80.3609345	43.37055753	291.42
5		E	3	-80.36091267	43.37054303	-80.3609345	43.37055753	291.42
5		E	4	-80.36091267	43.37054303	-80.3609345	43.37055753	291.42
6		A	1	-80.36217591	43.371281	-80.36212645	43.37118555	185.82
6		A	2	-80.36217591	43.371281	-80.36212645	43.37118555	185.82
6		A	3	-80.36217591	43.371281	-80.36212645	43.37118555	185.82
6		A	4	-80.36217591	43.371281	-80.36212645	43.37118555	185.82
6		B	1	-80.36217591	43.371281	-80.36210945	43.37128407	185.82
6		B	2	-80.36217591	43.371281	-80.36210945	43.37128407	185.82
6		B	3	-80.36217591	43.371281	-80.36210945	43.37128407	185.82
6		B	4	-80.36217591	43.371281	-80.36210945	43.37128407	185.82
6		C	1	-80.36217591	43.371281	-80.3622084	43.3713268	185.82
6		C	2	-80.36217591	43.371281	-80.3622084	43.3713268	185.82
6		C	3	-80.36217591	43.371281	-80.3622084	43.3713268	185.82
6		C	4	-80.36217591	43.371281	-80.3622084	43.3713268	185.82
