island	size	nitrogen 	mowing	dist.among	dist.mainland	lat.D	Longitude	Latitude
1	100	no	yes	37.1	230.05	161.32	-80.36107757	43.37108512
2	100	yes	no	32.29	252.93	167.04	-80.36117438	43.37076366
3	25	no	yes	21.1	294.76	85.56	-80.36245947	43.37023864
4	100	yes	yes	32.35	82.89	194.52	-80.36059558	43.37250336
5	400	no	yes	32.29	291.42	187.95	-80.36091267	43.37054303
6	400	no	yes	43.35	185.82	75.58	-80.36217591	43.371281
7	100	no	no	39.72	40.79	132.23	-80.36147977	43.37275399
8	400	yes	no	26.59	224.8	39.13	-80.3627289	43.37082544
9	25	no	no	12.58	83.2	114.21	-80.36159192	43.37236722
10	400	no	no	26.96	177.23	134.03	-80.36121705	43.37154767
11	100	no	yes	15.92	30.71	217.62	-80.36041594	43.37295969
12	25	yes	yes	26.5	57.45	227	-80.36025481	43.37275673
13	400	no	no	47.55	284.55	244.62	-80.36021082	43.37068649
14	400	yes	no	24.45	108	214.4	-80.36027004	43.37233377
15	25	yes	no	27.03	22.02	89.59	-80.36203069	43.37282098
16	25	no	yes	21.1	278.06	65.08	-80.36266118	43.37035069
17	100	yes	no	25.04	239.85	262.59	-80.35979457	43.3711609
18	25	no	no	39.72	189.38	109.41	-80.36164049	43.37135221
19	400	no	no	26.96	176	161.22	-80.360864	43.37159617
20	25	no	no	38.52	119.94	93.07	-80.36169946	43.37200015
21	400	yes	yes	37.28	233.69	113.43	-80.36178145	43.37090509
22	400	yes	yes	34.19	311.26	306.88	-80.35945047	43.37057345
23	25	yes	no	25.04	221.14	231.13	-80.3600455	43.3713014
24	100	no	no	34.11	29.22	39.87	-80.36260689	43.37267082
25	400	yes	yes	34.19	327.6	282.56	-80.35979398	43.37038863
26	100	yes	yes	26.59	237.24	13.06	-80.3629987	43.37068356
27	100	yes	no	23.84	146.3	65.73	-80.36202149	43.37169788
28	25	yes	no	96.68	7.83	15.96	-80.36333254	43.37170272
29	100	yes	yes	28.2	277.35	85.67	-80.3622614	43.37044655
30	100	no	no	24.45	126.65	220.94	-80.36008095	43.37214272
31	25	yes	yes	13.6	18.47	216.66	-80.36047115	43.37309062
32	25	yes	yes	12.58	80.08	125.89	-80.3614457	43.37240274
33	400	yes	no	23.84	123.01	53.35	-80.36215445	43.37188731
34	100	no	yes	37.19	235.2	75.89	-80.36223534	43.37083616
35	400	no	yes	27.05	45.14	70.06	-80.36219585	43.37260668
36	25	no	yes	13.08	9	220.28	-80.3605129	43.37320448
